2004-02-13 17:00:00,3.8486754010242894,Anomaly Score,Anomaly
2018-01-26 16:00:00,19.993442858953443,-0.22039435628728254,True
2018-01-26 20:00:00,19.02541486194604,-0.22039435628728254,True
2018-01-26 19:00:00,19.363710455348087,-0.22039435628728254,True
2018-01-26 17:00:00,19.694021609066244,-0.22039435628728254,True
2018-01-26 18:00:00,19.50126204098143,-0.22039435628728254,True
2018-01-24 08:00:00,19.59968336215324,-0.22039435628728254,True
2018-01-24 07:00:00,19.23500639612651,-0.22039435628728254,True
2018-01-24 06:00:00,19.633134156064123,-0.22039435628728254,True
2018-01-18 11:00:00,19.91813301510599,-0.22039435628728254,True
2018-01-18 12:00:00,19.67882434082044,-0.22039435628728254,True
2018-01-16 15:00:00,19.063393573517505,-0.22039435628728254,True
2018-01-19 15:00:00,19.79862223555685,-0.22039435628728254,True
2018-01-19 16:00:00,19.580662657629272,-0.22039435628728254,True
2018-01-19 17:00:00,20.290540828066927,-0.22039435628728254,True
2018-01-18 14:00:00,20.11876909375732,-0.22039435628728254,True
2018-01-18 13:00:00,19.84120867022861,-0.22039435628728254,True
2018-01-19 12:00:00,20.029677978014647,-0.22039435628728254,True
2018-01-19 13:00:00,19.61180697039516,-0.22039435628728254,True
2018-01-19 14:00:00,20.13263663694517,-0.22039435628728254,True
2017-11-20 14:00:00,19.200926062890648,-0.22039435628728254,True
2018-01-19 18:00:00,19.62306531402948,-0.22039435628728254,True
2018-01-17 14:00:00,18.97016705939119,-0.22039435628728254,True
2018-01-23 21:00:00,21.31045188288012,-0.22039435628728254,True
2018-01-23 20:00:00,23.116579919448448,-0.22039435628728254,True
2018-01-23 15:00:00,21.606596042680103,-0.22039435628728254,True
2018-01-22 19:00:00,21.37061398438053,-0.22039435628728254,True
2018-01-22 18:00:00,21.146705035430927,-0.22039435628728254,True
2017-11-21 05:00:00,19.04012753390816,-0.22039435628728254,True
2017-11-21 00:00:00,19.33867455376848,-0.22039435628728254,True
2017-11-21 02:00:00,18.974676241154004,-0.22039435628728254,True
2018-01-25 18:00:00,20.20799331147012,-0.22039435628728254,True
2018-01-25 19:00:00,19.926056231943782,-0.22039435628728254,True
2018-01-26 14:00:00,20.01034069660137,-0.22039435628728254,True
2018-01-26 13:00:00,19.864347098286053,-0.22039435628728254,True
2018-01-26 12:00:00,19.68461750338227,-0.22039435628728254,True
2018-01-26 15:00:00,19.818121416515343,-0.22039435628728254,True
2018-01-26 11:00:00,19.848540098820013,-0.22039435628728254,True
2018-01-25 16:00:00,20.24895632617568,-0.22039435628728254,True
2018-01-24 15:00:00,19.322405878598254,-0.22039435628728254,True
2018-01-24 14:00:00,19.815717462969165,-0.22039435628728254,True
2018-01-25 17:00:00,20.03853874420417,-0.22039435628728254,True
2018-01-17 11:00:00,19.26096140095744,-0.22039435628728254,True
2018-01-16 17:00:00,19.018170818551592,-0.22039435628728254,True
2018-01-22 17:00:00,21.04290867353011,-0.22039435628728254,True
2018-01-22 16:00:00,21.149916384216144,-0.22039435628728254,True
2018-01-22 14:00:00,21.271396313593627,-0.22039435628728254,True
2018-01-22 13:00:00,21.019224317361733,-0.22039435628728254,True
2018-01-22 12:00:00,21.03818245354204,-0.22039435628728254,True
2018-01-23 22:00:00,21.630619198785453,-0.22039435628728254,True
2018-01-24 03:00:00,20.060940661068702,-0.22039435628728254,True
2018-01-17 13:00:00,19.45506375495868,-0.22039435628728254,True
2018-01-17 12:00:00,18.95748244539863,-0.22039435628728254,True
