time,value,Anomaly Score,Anomaly
2025-04-05T13:49:35.890172,70.84,0.9252620831266555,True
2025-04-05T13:49:25.477537,65.62,0.8112663632375655,True
2025-04-05T13:49:34.852540,44.49,0.713898659642244,True
2025-04-05T13:49:36.361566,64.91,0.6580550639993772,True
2025-04-05T13:49:42.401879,88.69,0.6455729628488422,True
2025-04-05T13:49:22.649872,92.41,0.5918919930391158,True
2025-04-05T13:49:38.265349,42.7,0.5857343007682398,True
2025-04-05T13:49:35.326050,59.26,0.5633328458104871,True
2025-04-05T13:49:44.280880,43.75,0.550813540632862,True
2025-04-05T13:52:39.729524,59.16,0.5491302259983918,True
2025-04-05T13:49:46.006555,46.62,0.5482458690144862,True
2025-04-05T13:49:47.131692,92.2,0.5478252415304422,True
2025-04-05T13:49:32.179082,48.41,0.5353301492513651,True
2025-04-05T13:49:20.646467,81.85,0.5318146279312884,True
2025-04-05T13:49:38.661658,83.35,0.5174840987802795,True
2025-04-05T13:49:36.113687,32.49,0.5117865239809805,True
2025-04-05T13:49:23.683901,47.41,0.4921739874087579,True
2025-04-05T13:49:27.483757,79.6,0.4736436421986408,True
2025-04-05T13:49:48.417058,94.85,0.4631748037574295,True
2025-04-05T13:49:48.107216,93.99,0.46154037257254765,True
2025-04-05T13:49:35.900685,36.02,0.45279206917787757,True
2025-04-05T13:49:47.973741,92.17,0.41893270397601884,True
2025-04-05T13:52:40.729901,75.14,0.4076509004992088,True
2025-04-05T13:52:38.997247,60.65,0.4065170711290425,True
2025-04-05T13:52:38.986394,91.07,0.40558749924103166,True
2025-04-05T13:49:26.760212,32.61,0.4023574479964861,True
2025-04-05T13:52:39.008047,67.49,0.3958978057398639,True
2025-04-05T13:49:25.250498,48.08,0.37505276824010225,True
2025-04-05T13:49:40.517784,51.65,0.37234417759777083,True
2025-04-05T13:49:24.201180,88.48,0.36931653411265997,True
2025-04-05T13:49:36.903410,86.34,0.36322855430002055,True
2025-04-05T13:49:24.190959,83.56,0.3555388873390078,True
2025-04-05T13:49:41.901516,77.04,0.3385155721293927,True
2025-04-05T13:49:33.647399,34.14,0.33522295897742604,True
2025-04-05T13:49:40.711353,69.52,0.3339100931967086,True
2025-04-05T13:49:38.976661,77.34,0.3328419829325473,True
2025-04-05T13:49:45.545863,74.15,0.3304195102008166,True
2025-04-05T13:52:39.469318,36.11,0.32324026691285507,True
2025-04-05T13:49:48.807854,37.78,0.31957255718416133,True
2025-04-05T13:49:36.629748,94.76,0.31667996888001543,True
2025-04-05T13:49:38.446198,78.45,0.31506367096962606,True
2025-04-05T13:49:41.891230,66.85,0.3118332167803225,True
2025-04-05T13:49:39.140824,73.9,0.3096137107738469,True
2025-04-05T13:49:34.490013,83.97,0.30770408741364,True
2025-04-05T13:49:28.782496,53.14,0.3070722358290616,True
